no,CustomerWillTip,Service,Ambience,Food,TipOrNo
1,1,4,4,5,Tip
2,1,6,4,4,Tip
3,1,5,2,4,Tip
4,1,6,5,5,Tip
5,1,6,3,4,Tip
6,1,3,4,5,Tip
7,1,5,5,5,Tip
8,1,5,4,4,Tip
9,1,7,6,4,Tip
10,1,7,6,4,Tip
11,1,6,7,2,Tip
12,1,5,6,4,Tip
13,1,7,3,3,Tip
14,1,5,1,4,Tip
15,1,7,5,5,Tip
16,0,3,1,3,No-tip
17,0,4,6,2,No-tip
18,0,2,5,2,No-tip
19,0,5,2,4,No-tip
20,0,4,1,3,No-tip
21,0,3,3,4,No-tip
22,0,3,4,5,No-tip
23,0,3,6,3,No-tip
24,0,4,4,2,No-tip
25,0,6,3,6,No-tip
26,0,3,6,3,No-tip
27,0,4,3,2,No-tip
28,0,3,5,2,No-tip
29,0,5,5,3,No-tip
30,0,1,3,2,No-tip
